name,state,lat,lon
BILOXI,MS,30.42,-88.92
COLUMBUS AFB,MS,33.65,-88.45
GREENVILLE,MS,33.49,-90.98
GULFPORT,MS,30.40,-89.07
COLUMBUS,MS,33.45,-88.58
GREENWOOD,MS,33.50,-90.08
HATTIESBURG,MS,31.27,-89.26
NATCHEZ (AWOS),MS,31.62,-91.25
JACKSON,MS,32.34,-90.23
JACKSON ASOS,MS,32.32,-90.08
MCCOMB,MS,31.18,-90.47
MERIDIAN ASOS,MS,32.33,-88.75
MERIDIAN NAS,MS,32.55,-88.56
OLIVE BRANCH AIRPORT,MS,34.98,-89.79
LAUREL-HATIESBURG,MS,31.47,-89.33
PASCAGOULA/LOTT ASOS,MS,30.47,-88.53
TUPELO ASOS,MS,34.27,-88.77
VICKSBURG ASOS,MS,32.35,-91.03
TUNICA MUNI ARPT,MS,34.68,-90.35
FOLSOM FIELD ARPT,AL,34.27,-86.86
ISBELL FIELD ARPT,AL,34.47,-85.72
ANDALUSIA/OPP,AL,31.32,-86.40
ALEXANDER CITY/RUSSE,AL,32.91,-85.96
ANNISTON,AL,33.59,-85.85
AUBURN AWOS,AL,32.58,-85.50
BROOKLEY APRT,AL,30.63,-88.07
BIRMINGHAM,AL,33.57,-86.75
DECATUR-PRYOR FIELD,AL,34.65,-86.94
DOTHAN,AL,31.32,-85.44
CALERA/SHELBY CTY AP,AL,33.18,-86.78
GADSDEN,AL,33.97,-86.08
EVERGREEN (ASOS),AL,31.42,-87.05
HUNTSVILLE ASOS,AL,34.65,-86.77
REDSTONE ARSENAL,AL,34.68,-86.68
MADISON CNTY EXEC AP,AL,34.86,-86.56
MONTGOMERY ASOS,AL,32.30,-86.40
MOBILE,AL,30.68,-88.25
MUSCLE SHOALS,AL,34.75,-87.62
MAXWELL AFB,AL,32.38,-86.37
FT.RUCKER,AL,31.27,-85.72
TUSCALOOSA,AL,33.23,-87.62
TROY,AL,31.86,-86.01
NASHVILLE,TN,36.12,-86.68
CHATTANOOGA ASOS,TN,35.03,-85.20
CLARKSVILLE,TN,36.62,-87.41
CROSSVILLE,TN,35.95,-85.08
DYERSBURG,TN,36.02,-89.40
MEMPHIS,TN,35.05,-90.00
JACKSON,TN,35.60,-88.92
SMYRNA,TN,36.00,-86.50
MEMPHIS NAS,TN,35.35,-89.87
OAK RIDGE (ASOS),TN,36.02,-84.23
BRISTOL ASOS,TN,36.48,-82.40
KNOXVILLE ASOS,TN,35.82,-83.98
MIDDLESBORO/BELL CO,KY,36.61,-83.74
BOWLING GREEN,KY,36.97,-86.43
COVINGTON ASOS,KY,39.05,-84.67
HENDERSON CITY,KY,37.82,-87.68
FRANKFORT ASOS,KY,38.18,-84.90
FORT KNOX,KY,37.90,-85.97
GLASGOW MUNI ARPT,KY,37.03,-85.95
FT. CAMBELL AAF,KY,36.67,-87.50
JACKSON ASOS,KY,37.60,-83.32
LEXINGTON,KY,38.03,-84.60
BOWMAN FIELD ARPT,KY,38.22,-85.66
LONDON,KY,37.08,-84.08
OWENSBORO,KY,37.74,-87.17
PADUCAH ASOS,KY,37.07,-88.77
LOUISVILLE ASOS,KY,38.18,-85.73
SOMERSET(AWOS),KY,37.05,-84.61
ANTRIM,MI,44.99,-85.20
ADRIAN,MI,41.87,-84.08
ALMA,MI,43.32,-84.69
SAULT STE MARIE,MI,46.48,-84.36
ALPENA ASOS,MI,45.07,-83.57
ANN ARBOR,MI,42.22,-83.75
KALAMAZOO,MI,42.23,-85.55
BAD AXE,MI,43.78,-82.99
BENTON HARBOR,MI,42.13,-86.43
HOLLAND/TULIP CITY,MI,42.83,-86.17
BATTLE CREEK,MI,42.30,-85.23
CADILLAC/WEXFORD CO,MI,44.28,-85.42
CARO/TUSCOLA AREA AR,MI,43.46,-83.45
CHIPPEWA INTL AP,MI,46.25,-84.47
HANCOCK,MI,47.17,-88.48
CHARLEVOIX,MI,45.30,-85.27
DETROIT CITY APRT,MI,42.41,-83.01
DETROIT ASOS,MI,42.23,-83.33
TOLEDO SUBURBAN ARPT,MI,41.74,-83.66
NEWBERRY,MI,46.31,-85.46
ESCANABA,MI,45.75,-87.05
FRANKFORT DOW MEM FI,MI,44.63,-86.20
FLINT ASOS,MI,42.97,-83.73
FITCH BEACH AIRPORT,MI,42.57,-84.81
