lon,lat,mask
-133.21,12.63,0
-132.51,12.83,0
-131.80,13.02,0
-131.09,13.21,0
-130.38,13.40,0
-129.67,13.58,0
-128.95,13.76,0
-128.24,13.94,0
-127.52,14.11,0
-126.80,14.28,0
-126.08,14.44,0
-125.35,14.61,0
-124.63,14.76,0
-123.90,14.92,0
-123.17,15.07,0
-122.44,15.22,0
-121.71,15.36,0
-120.97,15.50,0
-120.24,15.63,0
-119.50,15.76,0
-118.76,15.89,0
-118.02,16.02,0
-117.28,16.14,0
-116.54,16.25,0
-115.80,16.36,0
-115.05,16.47,0
-114.31,16.58,0
-113.56,16.68,0
-112.81,16.78,0
-112.06,16.87,0
-111.31,16.96,0
-110.56,17.04,0
-109.80,17.12,0
-109.05,17.20,0
-108.30,17.27,0
-107.54,17.34,0
-106.79,17.41,0
-106.03,17.47,0
-105.27,17.52,0
-104.51,17.58,0
-103.75,17.63,0
-102.99,17.67,0
-102.23,17.71,0
-101.47,17.75,0
-100.71,17.78,0
-99.95,17.81,0
-99.19,17.83,0
-98.43,17.85,0
-97.67,17.87,0
-96.91,17.88,0
-96.14,17.89,0
-95.38,17.89,0
-94.62,17.89,0
-93.86,17.89,0
-93.10,17.88,0
-92.33,17.87,0
-91.57,17.85,0
-90.81,17.83,0
-90.05,17.81,0
-89.29,17.78,0
-88.53,17.75,0
-87.77,17.71,0
-87.01,17.67,0
-86.25,17.63,0
-85.49,17.58,0
-84.73,17.52,0
-83.97,17.47,0
-83.22,17.41,0
-82.46,17.34,0
-81.70,17.27,0
-80.95,17.20,0
-80.20,17.12,0
-79.44,17.04,0
-78.69,16.96,0
-77.94,16.87,0
-77.19,16.78,0
-76.44,16.68,0
-75.70,16.58,0
-74.95,16.47,0
-74.20,16.36,0
-73.46,16.25,0
-72.72,16.14,0
-71.98,16.02,0
-71.24,15.89,0
-70.50,15.76,0
-69.76,15.63,0
-69.03,15.50,0
-68.29,15.36,0
-67.56,15.22,0
-66.83,15.07,0
-66.10,14.92,0
-65.37,14.76,0
-133.41,13.32,0
-132.71,13.52,0
-132.00,13.71,0
-131.29,13.90,0
-130.57,14.09,0
-129.86,14.28,0
-129.14,14.46,0
-128.42,14.63,0
-127.70,14.81,0
-126.97,14.98,0
-126.25,15.15,0
-125.52,15.31,0
-124.79,15.47,0
-124.06,15.62,0
-123.33,15.77,0
-122.59,15.92,0
-121.86,16.07,0
-121.12,16.21,0
-120.38,16.34,0
-119.64,16.47,0
-118.90,16.60,0
-118.15,16.73,0
-117.41,16.85,0
-116.66,16.97,0
-115.91,17.08,0
-115.16,17.19,0
-114.41,17.29,0
-113.66,17.40,0
-112.91,17.49,0
-112.16,17.59,0
-111.40,17.68,0
-110.64,17.76,0
-109.89,17.84,0
-109.13,17.92,0
-108.37,17.99,0
-107.61,18.06,0
-106.85,18.13,0
-106.09,18.19,0
-105.33,18.25,0
-104.57,18.30,0
-103.80,18.35,0
-103.04,18.39,0
-102.28,18.44,0
-101.51,18.47,0
-100.75,18.51,0
